from(10090),to(9606)
NP_034645,NP_000867
NP_032388,NP_000868
NP_034688,NP_000870
NP_032397,NP_000871
NP_001152896,NP_000873
NP_001153036,NP_001269282
NP_038626,NP_000890
NP_032623,NP_000891
NP_032732,NP_000894
NP_064678,NP_000895
NP_075945,NP_000896
NP_001034270,NP_000899
NP_035064,NP_000900
NP_032757,NP_000901
NP_061249,NP_000912
NP_035185,NP_000913
NP_077183,NP_000916
NP_032855,NP_000917
NP_035237,NP_000919
NP_001116426,NP_000920
NP_032898,NP_000921
NP_032904,NP_001159392
NP_033115,NP_000928
NP_722493,NP_000929
NP_001265512,NP_000930
NP_032924,NP_000932
NP_035279,NP_000933
NP_032934,NP_000934
NP_032947,NP_000937
NP_032948,NP_000938
NP_035294,NP_001157030
NP_035299,NP_000940
NP_081598,NP_001166961
NP_075375,NP_000942
NP_032988,NP_000944
NP_032989,NP_000945
NP_038669,NP_000946
NP_032990,NP_000947
NP_032992,NP_000950
NP_032995,NP_000953
NP_038790,NP_000958
NP_077174,NP_000959
NP_033103,NP_000970
NP_077180,NP_000977
NP_001156957,NP_000980
NP_033107,NP_000982
NP_036182,NP_000996
NP_033121,NP_001000
NP_080239,NP_001005
NP_038675,NP_001011
NP_077137,NP_001016
NP_033129,NP_001024
NP_035452,NP_001028
NP_035454,NP_001153047
NP_035497,NP_001031
NP_033235,NP_001165972
NP_034614,NP_001036
NP_033241,NP_001039
NP_033242,NP_001040
NP_067357,NP_001050
NP_033351,NP_963998
NP_035739,NP_001056
NP_035740,NP_001057
NP_035753,NP_001058
NP_598785,NP_001061
NP_067263,NP_001062
NP_035823,NP_001069
NP_033565,NP_001070
NP_766120,NP_001071
NP_700471,NP_001074
NP_036092,NP_001075
NP_666222,NP_001078
NP_038882,NP_001081
NP_001186225,NP_001087
NP_038483,NP_001088
NP_542364,NP_001089
NP_031423,NP_001097
NP_031425,NP_001101
NP_031432,NP_001105
NP_033754,NP_001107
NP_033755,NP_001093203
NP_031433,NP_001186564
NP_080936,NP_001111
NP_031434,NP_001113
NP_033757,NP_001115
NP_031440,NP_001116
NP_031448,NP_001117
NP_033766,NP_001120
NP_034477,NP_945320
NP_660128,NP_001124
NP_031451,NP_001127
NP_033789,NP_001130
NP_033791,NP_001132
NP_035917,NP_001135
NP_079815,NP_001152
NP_796008,NP_001154
NP_001240814,NP_001155
NP_031490,NP_892007
NP_031491,NP_001243092
NP_033818,NP_001158
NP_033835,NP_001163
NP_033836,NP_001025226
NP_598557,NP_001172006
NP_031515,NP_001169
NP_859417,NP_001123488
NP_031519,NP_001172
NP_613066,NP_001173
NP_061264,NP_001174
NP_038506,NP_001176
NP_031546,NP_001177
NP_031549,NP_001179
NP_035738,NP_001183
NP_033881,NP_001186
NP_031570,NP_932070
NP_031572,NP_001188
NP_031574,NP_001189
NP_031579,NP_001191
NP_775580,NP_001192
NP_031587,NP_001195
NP_742161,NP_001196
NP_034768,NP_001197
NP_033903,NP_001202
NP_908942,NP_001186600
NP_058596,NP_001224
NP_075732,NP_001230
NP_033963,NP_001231
NP_033427,NP_001234
NP_033429,NP_001235
NP_035741,NP_001241
NP_033983,NP_001242
NP_035747,NP_001243
NP_663411,NP_001107563
NP_034003,NP_001138778
NP_031697,NP_001253
NP_031699,NP_001256
NP_001164165,NP_001273760
NP_031717,NP_001265
NP_031719,NP_001266
NP_031726,NP_001269
NP_031731,NP_001271
NP_079824,NP_001272
NP_059502,NP_001276
NP_036059,NP_001277
NP_766209,NP_001107558
NP_034828,NP_001281
NP_076160,NP_001284
NP_001263648,NP_001287
NP_001268939,NP_001289
NP_034052,NP_001290
NP_035933,NP_001291
NP_031771,NP_001293
NP_031780,NP_001295
NP_034033,NP_001296
NP_034032,NP_001297
NP_109628,NP_001299
NP_808355,NP_001301
NP_076054,NP_001307
NP_082899,NP_001314
NP_077161,NP_001028693
NP_663504,NP_001317
NP_038530,NP_001319
NP_031821,NP_001321
NP_031641,NP_001078927
NP_808330,NP_001325
NP_071720,NP_001327
NP_001020363,NP_001329
NP_075607,NP_001334
NP_034145,NP_001335
NP_058091,NP_001336
NP_619591,NP_001337
NP_803228,NP_001340
NP_001186662,NP_001341
NP_058670,NP_001343
NP_034157,NP_001346
NP_031868,NP_001348
NP_031865,NP_001349
NP_031882,NP_001157289
NP_064430,NP_001352
NP_742117,NP_001353
NP_001025478,NP_001354
NP_035937,NP_001136171
NP_031890,NP_001356
NP_579943,NP_001360
NP_038839,NP_001193856
NP_064341,NP_067056
NP_084514,NP_001367
NP_034200,NP_001372
NP_031901,NP_001373
NP_652762,NP_001374
NP_080620,NP_001375
NP_067329,NP_001379
NP_001012324,NP_001384
NP_795907,NP_001385
NP_083628,NP_001386
NP_955011,NP_001106820
NP_058052,NP_001389
NP_031927,NP_001391
NP_766577,NP_001392
NP_031935,NP_001396
NP_031937,NP_001397
NP_536685,NP_001398
NP_001004177,NP_001399
NP_663346,NP_001405
NP_034258,NP_001414
NP_031955,NP_001415
NP_001139818,NP_001416
NP_808489,NP_001420
NP_034267,NP_001421
NP_031976,NP_001423
NP_032017,NP_001427
NP_034287,NP_001428
NP_001156986,NP_001430
NP_061258,NP_001431
NP_059095,NP_001434
NP_032401,NP_001035532
NP_001025159,NP_001438
NP_034556,NP_001442
NP_034355,NP_001443
NP_032266,NP_001445
NP_034357,NP_001104026
NP_035486,NP_001454
NP_033748,NP_001455
NP_062312,NP_001461
NP_082015,NP_001469
NP_061343,NP_001472
NP_080237,NP_001473
NP_032121,NP_001474
NP_034392,NP_001476
NP_659158,NP_001477
NP_056555,NP_001478
NP_032141,NP_001486
NP_034410,NP_001487
NP_034425,NP_001489
NP_032182,NP_001494
NP_034040,NP_001136269
NP_034473,NP_001500
NP_663521,NP_001505
NP_071294,NP_001506
NP_852075,NP_001507
NP_082469,NP_001510
NP_032241,NP_001514
NP_034540,NP_001515
NP_945200,NP_001517
NP_062320,NP_001519
NP_034561,NP_001521
NP_796275,NP_001524
NP_038588,NP_001531
NP_997088,NP_001533
NP_081005,NP_001536
NP_112443,NP_001537
NP_032358,NP_001538
NP_034647,NP_001543
NP_032074,NP_001544
NP_034646,NP_001545
NP_808259,NP_001546
NP_032374,NP_001549
NP_032380,NP_001550
NP_598751,NP_001551
NP_001070977,NP_001552
NP_032386,NP_001553
NP_071299,NP_001554
NP_067249,NP_001556
NP_001116211,NP_001558
NP_032414,NP_001559
NP_751893,NP_001561
NP_058545,NP_001562
NP_001231127,NP_001595
NP_666329,NP_001596
NP_080102,NP_001600
NP_031413,NP_001601
NP_031417,NP_001603
NP_001258786,NP_001171983
NP_031441,NP_001609
NP_570933,NP_001610
NP_038492,NP_001612
NP_038493,NP_001613
NP_062340,NP_001614
NP_001029138,NP_001616
NP_033785,NP_001618
NP_033793,NP_001191335
NP_031469,NP_001624
NP_036184,NP_001628
NP_666338,NP_001631
NP_033817,NP_001231178
NP_038502,NP_001634
NP_112436,NP_001635
NP_031411,NP_001637
NP_031496,NP_001638
NP_033833,NP_001645
NP_666097,NP_001646
NP_109656,NP_001647
NP_033834,NP_001648
NP_079680,NP_001652
NP_031507,NP_001654
NP_062696,NP_001658
NP_001032826,NP_001659
NP_033844,NP_001662
NP_056585,NP_001663
NP_031524,NP_001665
NP_001274109,NP_001666
NP_058035,NP_001003701
NP_058054,NP_001677
NP_033855,NP_001679
NP_031535,NP_001684
NP_079770,NP_001686
NP_031536,NP_001687
NP_613063,NP_001688
NP_057918,NP_001689
NP_031545,NP_001692
NP_778156,NP_001693
NP_775094,NP_001694
NP_783573,NP_001695
NP_033875,NP_001698
NP_031564,NP_001699
NP_032224,NP_001701
NP_031568,NP_001702
NP_057877,NP_001704
NP_031575,NP_001706
NP_031577,NP_001707
NP_031582,NP_001709
NP_001106931,NP_003206
NP_001157554,NP_001713
NP_033896,NP_001718
NP_033898,NP_001719
NP_031594,NP_001720
NP_038511,NP_001723
NP_031612,NP_001731
NP_031614,NP_001158209
NP_031622,NP_001736
NP_001103969,NP_001019820
NP_033924,NP_001739
NP_033925,NP_001003962
NP_038770,NP_001014437
NP_031642,NP_001744
NP_001104491,NP_001745
NP_031657,NP_444284
NP_031660,NP_001752
NP_033968,NP_001753
NP_031665,NP_001757
NP_038514,NP_001758
NP_033974,NP_001761
NP_598415,NP_001020280
NP_031672,NP_001766
NP_034711,NP_001768
NP_031675,NP_001769
NP_031680,NP_001773
NP_082452,NP_001776
NP_033989,NP_001779
NP_031684,NP_001780
NP_033990,NP_001274512
NP_033998,NP_001786
NP_033996,NP_001788
NP_034004,NP_001790
NP_149026,NP_001792
NP_034010,NP_001795
NP_997014,NP_001796
NP_034014,NP_001797
NP_031707,NP_001800
NP_031708,NP_001801
NP_031709,NP_001803
NP_034112,NP_001805
NP_031720,NP_001810
NP_038520,NP_001822
NP_079745,NP_001823
NP_001073854,NP_009027
NP_031745,NP_001829
NP_034054,NP_001832
NP_034062,NP_001837
NP_034063,NP_001839
NP_666119,NP_001840
NP_031766,NP_001842
NP_034058,NP_001846
NP_082542,NP_001847
NP_780299,NP_001850
NP_079655,NP_001857
NP_076014,NP_004332
NP_038523,NP_001867
NP_031785,NP_001186652
NP_940800,NP_001873
NP_038528,NP_001875
NP_067326,NP_001877
NP_076184,NP_001878
NP_057878,NP_001879
NP_034102,NP_001882
NP_034347,NP_001892
NP_666065,NP_001893
NP_033948,NP_001894
NP_001159374,NP_001091679
NP_034152,NP_001909
NP_034154,NP_001123361
NP_056550,NP_001914
NP_031862,NP_001915
NP_001034603,NP_001921
NP_001074756,NP_775767
NP_084501,NP_001924
NP_062733,NP_001928
NP_031907,NP_001007027
NP_031908,NP_001932
NP_031909,NP_001934
NP_034545,NP_001936
NP_703189,NP_001938
NP_683754,NP_001941
NP_031918,NP_001942
NP_150373,NP_937987
NP_612175,NP_001107228
NP_034234,NP_001161791
NP_031928,NP_001947
NP_034462,NP_001948
NP_061266,NP_066944
NP_997537,NP_001953
NP_034243,NP_001954
NP_065621,NP_001956
NP_076226,NP_001957
NP_038534,NP_001958
NP_808254,NP_065123
NP_031949,NP_001964
NP_034260,NP_001965
NP_001239591,NP_001107607
NP_031974,NP_001974
NP_080971,NP_001976
NP_032841,NP_001073143
NP_079552,NP_001979
NP_031992,NP_001980
NP_997592,NP_001981
NP_034299,NP_001983
NP_034301,NP_001984
NP_112441,NP_001985
NP_032018,NP_001158507
NP_034311,NP_001990
NP_034314,NP_001992
NP_038545,NP_001207429
NP_034320,NP_001994
NP_001240680,NP_001995
NP_032032,NP_001997
NP_034332,NP_001998
NP_038546,NP_002001
NP_038930,NP_002004
NP_062713,NP_002006
NP_067330,NP_002014
NP_032057,NP_002015
NP_034363,NP_997647
NP_032059,NP_002018
NP_666039,NP_002019
NP_034372,NP_002024
NP_081810,NP_002026
NP_067331,NP_997006
NP_032091,NP_001184226
NP_032109,NP_001123536
NP_851009,NP_002038
NP_032112,NP_002039
NP_032115,NP_002040
NP_032117,NP_002042
NP_032118,NP_002043
NP_034407,NP_002046
NP_032146,NP_002051
NP_032155,NP_002052
NP_067307,NP_002053
NP_034434,NP_002059
NP_032165,NP_002063
NP_083640,NP_002067
NP_034454,NP_002070
NP_034455,NP_002071
NP_032189,NP_002077
NP_032201,NP_002078
NP_032194,NP_002079
NP_778177,NP_001012531
NP_598562,NP_002087
NP_666191,NP_002089
NP_032240,NP_002100
NP_034544,NP_002102
NP_031798,NP_002105
NP_032232,NP_002110
NP_034519,NP_002111
NP_996988,NP_001230890
NP_666054,NP_001091742
NP_001129538,NP_001273197
NP_034574,NP_001189162
NP_032292,NP_002135
NP_001073338,NP_002137
NP_038582,NP_002139
NP_032303,NP_002141
NP_032326,NP_002145
NP_034607,NP_955472
NP_032346,NP_002154
NP_034625,NP_002156
NP_034626,NP_002157
NP_032347,NP_002158
NP_034640,NP_002167
NP_032370,NP_002169
NP_033238,NP_002171
NP_001152790,NP_001161403
NP_034690,NP_002175
NP_032398,NP_002176
NP_032378,NP_002178
NP_032381,NP_002179
NP_032384,NP_001243694
NP_034682,NP_002181
NP_034694,NP_002182
NP_032406,NP_002183
NP_032407,NP_002184
NP_032410,NP_002185
NP_031412,NP_002188
NP_001152868,NP_002189
NP_032417,NP_002190
NP_067434,NP_002193
NP_032422,NP_002194
NP_598482,NP_002198
NP_001240801,NP_002200
NP_032432,NP_002206
NP_034712,NP_002207
NP_032433,NP_002208
NP_061216,NP_001159921
NP_666237,NP_002211
NP_001074644,NP_002212
NP_034715,NP_001161744
NP_542120,NP_002215
NP_062800,NP_002216
NP_034718,NP_002217
NP_666257,NP_002218
NP_034721,NP_002219
NP_034723,NP_068831
NP_666095,NP_002225
NP_038596,NP_002226
NP_032452,NP_002230
NP_034736,NP_002231
NP_001034573,NP_002232
NP_001258621,NP_001263364
NP_032456,NP_002236
NP_034738,NP_002237
NP_001240293,NP_001154824
NP_001156982,NP_002241
NP_839991,NP_002247
NP_034784,NP_001107868
NP_032405,NP_002256
NP_034785,NP_002257
NP_076068,NP_002262
NP_032495,NP_002266
NP_032497,NP_002267
NP_058576,NP_002271
NP_034797,NP_002275
NP_034808,NP_001020279
NP_032505,NP_002277
NP_034809,NP_002280
NP_032508,NP_002282
NP_032509,NP_002283
NP_034813,NP_002284
NP_034832,NP_002293
NP_666258,NP_002294
NP_032527,NP_002300
NP_038612,NP_002301
NP_795927,NP_001091738
NP_034847,NP_002305
NP_001273111,NP_002308
NP_201582,NP_002309
NP_032538,NP_002323
NP_001019878,NP_002324
NP_032539,NP_002326
NP_032540,NP_002327
NP_062264,NP_002330
NP_032544,NP_002332
NP_034866,NP_002333
NP_032548,NP_002334
NP_035967,NP_001129127
NP_032560,NP_002339
NP_035494,NP_002342
NP_064431,NP_002344
NP_032558,NP_002345
NP_034881,NP_002348
NP_062372,NP_002349
NP_034887,NP_002351
NP_034888,NP_002352
NP_001269666,NP_002361
NP_032575,NP_002363
NP_115769,NP_002364
NP_001035023,NP_002365
NP_001192261,NP_002366
NP_032578,NP_002368
NP_034899,NP_002370
NP_034900,NP_002372
NP_032584,NP_002373
NP_034907,NP_001020272
NP_032585,NP_002377
NP_032589,NP_002379
NP_034914,NP_002382
NP_034916,NP_002383
NP_032601,NP_002384
NP_001154885,NP_001012682
NP_032616,NP_002393
NP_001155271,NP_002394
NP_032621,NP_002396
NP_001103620,NP_002397
NP_666147,NP_002399
NP_660110,NP_002401
NP_778160,NP_002404
NP_001074586,NP_002408
NP_067387,NP_002420
NP_032638,NP_002422
NP_034952,NP_001015052
NP_080113,NP_002426
NP_032647,NP_002427
NP_034959,NP_002430
NP_114076,NP_002431
NP_065622,NP_002434
NP_034963,NP_002435
NP_001074761,NP_002437
NP_033100,NP_002438
NP_034965,NP_002439
NP_038629,NP_002440
NP_077753,NP_002442
NP_032663,NP_945190
NP_598528,NP_001005369
NP_038702,NP_002451
NP_619597,NP_002452
NP_780627,NP_996556
NP_032678,NP_002457
NP_034981,NP_002459
NP_032683,NP_002460
NP_112466,NP_002470
NP_082168,NP_001137357
NP_036085,NP_002475
NP_038780,NP_002476
NP_001028373,NP_002477
NP_080263,NP_002481
NP_001028477,NP_002484
NP_079799,NP_002485
NP_035017,NP_002486
NP_001258372,NP_002487
NP_035978,NP_002489
NP_032710,NP_002490
NP_035024,NP_002491
NP_001075450,NP_001257972
NP_001170841,NP_001070962
NP_076228,NP_002495
NP_038637,NP_002497
NP_150086,NP_002498
NP_035047,NP_002499
NP_035049,NP_002500
NP_444340,NP_001005340
NP_035060,NP_002505
NP_032744,NP_002508
NP_032745,NP_002509
NP_001074621,NP_002510
NP_032756,NP_002513
NP_058069,NP_002514
NP_035981,NP_002517
NP_001157507,NP_001096124
NP_032769,NP_002519
NP_001028296,NP_002520
NP_001076800,NP_002523
NP_080447,NP_002524
NP_032782,NP_001192183
NP_038642,NP_002530
NP_001171130,NP_702913
NP_035087,NP_002533
NP_619589,NP_002534
NP_032790,NP_002537
NP_443208,NP_002538
NP_666919,NP_002541
NP_032793,NP_899056
NP_032797,NP_002549
NP_663501,NP_002550
NP_035156,NP_002551
NP_201578,NP_002552
NP_035157,NP_002553
NP_001268945,NP_002554
NP_032799,NP_002555
NP_001074923,NP_002560
NP_032801,NP_002563
NP_032802,NP_002564
NP_035165,NP_002567
NP_075617,NP_002570
NP_473397,NP_002574
NP_067518,NP_002581
NP_035174,NP_002582
NP_035175,NP_872590
NP_032814,NP_002584
NP_032821,NP_997667
NP_001153202,NP_002588
NP_032825,NP_002589
NP_001137320,NP_001139681
NP_062814,NP_001032417
NP_032827,NP_002592
NP_036197,NP_002593
NP_001116231,NP_001229247
NP_032829,NP_002596
NP_001139740,NP_002600
NP_001139473,NP_001188254
NP_035470,NP_002606
NP_035195,NP_002607
NP_076140,NP_002609
NP_032849,NP_001138724
NP_081320,NP_002615
NP_062283,NP_444252
NP_032853,NP_002623
NP_082408,NP_001166289
NP_032857,NP_001268425
NP_032858,NP_002628
NP_035211,NP_002632
NP_035212,NP_002635
NP_852079,NP_002638
NP_032869,NP_002643
NP_064353,NP_002646
NP_061277,NP_002648
NP_067255,NP_002651
NP_062422,NP_002655
NP_783571,NP_002657
NP_062729,NP_002659
NP_058064,NP_002660
NP_035260,NP_002681
NP_035261,NP_001243778
NP_035263,NP_002683
NP_059490,NP_001119603
NP_033116,NP_116558
NP_079830,NP_002686
NP_080605,NP_002687
NP_620395,NP_002691
NP_032935,NP_002696
NP_001152968,NP_002697
NP_075689,NP_002703
NP_001157290,NP_002705
NP_082308,NP_001171062
NP_062648,NP_002711
NP_032944,NP_002713
NP_473418,NP_002716
NP_035286,NP_002717
NP_032946,NP_002719
NP_848769,NP_006247
NP_001164475,NP_005804
NP_032951,NP_001001329
NP_766220,NP_002738
NP_035971,NP_002740
NP_032953,NP_002746
NP_032963,NP_001257545
NP_001157714,NP_002758
NP_849186,NP_002763
NP_036095,NP_002777
NP_032970,NP_002778
NP_035314,NP_002779
NP_036096,NP_002780
NP_036097,NP_002781
NP_036098,NP_002782
NP_001157081,NP_653263
NP_035315,NP_002784
NP_036100,NP_002785
NP_036101,NP_002786
NP_032971,NP_002787
NP_032972,NP_002789
NP_035317,NP_002790
NP_038613,NP_002791
NP_032973,NP_002793
NP_035318,NP_002794
NP_032974,NP_002795
NP_032976,NP_002796
NP_081633,NP_002798
NP_598862,NP_002799
NP_033465,NP_002800
NP_034947,NP_002802
NP_080276,NP_002804
NP_848731,NP_002806
NP_080170,NP_002807
NP_036005,NP_002808
NP_035322,NP_789839
NP_032996,NP_945317
NP_032999,NP_002816
NP_035331,NP_002818
