from(10090),to(9606)
ENSMUSP00000021390,ENSP00000261304
ENSMUSP00000021114,ENSP00000465930
ENSMUSP00000081745,ENSP00000368119
ENSMUSP00000132603,ENSP00000410833
ENSMUSP00000003907,ENSP00000222214
ENSMUSP00000087405,ENSP00000419045
ENSMUSP00000124064,ENSP00000483403
ENSMUSP00000064536,ENSP00000282561
ENSMUSP00000062723,ENSP00000354900
ENSMUSP00000106137,ENSP00000379258
ENSMUSP00000025778,ENSP00000370737
ENSMUSP00000000275,ENSP00000274093
ENSMUSP00000057563,ENSP00000329380
ENSMUSP00000032133,ENSP00000303942
ENSMUSP00000049355,ENSP00000348877
ENSMUSP00000028239,ENSP00000362924
ENSMUSP00000078630,ENSP00000498303
ENSMUSP00000005503,ENSP00000234420
ENSMUSP00000120976,ENSP00000370023
ENSMUSP00000026841,ENSP00000325136
ENSMUSP00000125492,ENSP00000283871
ENSMUSP00000076575,ENSP00000498786
ENSMUSP00000030432,ENSP00000363614
ENSMUSP00000018407,ENSP00000309913
ENSMUSP00000125226,ENSP00000355310
ENSMUSP00000005173,ENSP00000314606
ENSMUSP00000083587,ENSP00000264832
ENSMUSP00000099046,ENSP00000339801
ENSMUSP00000071577,ENSP00000425081
ENSMUSP00000077074,ENSP00000378130
ENSMUSP00000033664,ENSP00000363318
ENSMUSP00000000220,ENSP00000370731
ENSMUSP00000082729,ENSP00000370421
ENSMUSP00000127604,ENSP00000200181
ENSMUSP00000028735,ENSP00000254958
ENSMUSP00000060073,ENSP00000391676
ENSMUSP00000055225,ENSP00000371985
ENSMUSP00000005815,ENSP00000288135
ENSMUSP00000123875,ENSP00000375778
ENSMUSP00000067046,ENSP00000312652
ENSMUSP00000077106,ENSP00000218867
ENSMUSP00000079937,ENSP00000370839
ENSMUSP00000126525,ENSP00000263274
ENSMUSP00000034731,ENSP00000299022
ENSMUSP00000015712,ENSP00000497642
ENSMUSP00000047705,ENSP00000262186
ENSMUSP00000026013,ENSP00000340684
ENSMUSP00000111103,ENSP00000317272
ENSMUSP00000155517,ENSP00000485010
ENSMUSP00000035079,ENSP00000231790
ENSMUSP00000024967,ENSP00000233146
ENSMUSP00000029805,ENSP00000400821
ENSMUSP00000127070,ENSP00000442795
ENSMUSP00000102745,ENSP00000386331
ENSMUSP00000028020,ENSP00000037502
ENSMUSP00000023088,ENSP00000379680
ENSMUSP00000001802,ENSP00000225927
ENSMUSP00000021921,ENSP00000332353
ENSMUSP00000046692,ENSP00000495972
ENSMUSP00000071289,ENSP00000351015
ENSMUSP00000025279,ENSP00000269228
ENSMUSP00000028857,ENSP00000389879
ENSMUSP00000026383,ENSP00000417161
ENSMUSP00000081544,ENSP00000357838
ENSMUSP00000001202,ENSP00000360154
ENSMUSP00000020241,ENSP00000448059
ENSMUSP00000038763,ENSP00000365462
ENSMUSP00000031456,ENSP00000420295
ENSMUSP00000075683,ENSP00000244137
ENSMUSP00000018877,ENSP00000225873
ENSMUSP00000020182,ENSP00000315680
ENSMUSP00000107996,ENSP00000369274
ENSMUSP00000050788,ENSP00000313504
ENSMUSP00000049296,ENSP00000262304
ENSMUSP00000027667,ENSP00000356293
ENSMUSP00000019199,ENSP00000196061
ENSMUSP00000023396,ENSP00000268261
ENSMUSP00000135113,ENSP00000342931
ENSMUSP00000077354,ENSP00000495996
ENSMUSP00000072863,ENSP00000343943
ENSMUSP00000023629,ENSP00000377783
ENSMUSP00000013807,ENSP00000361021
ENSMUSP00000078723,ENSP00000282091
ENSMUSP00000132064,ENSP00000413774
ENSMUSP00000034570,ENSP00000280362
ENSMUSP00000129311,ENSP00000428590
ENSMUSP00000108150,ENSP00000400647
ENSMUSP00000015950,ENSP00000281243
ENSMUSP00000022701,ENSP00000267163
ENSMUSP00000024773,ENSP00000230381
ENSMUSP00000093961,ENSP00000278833
ENSMUSP00000033650,ENSP00000369320
ENSMUSP00000137439,ENSP00000416360
ENSMUSP00000021056,ENSP00000396320
ENSMUSP00000076459,ENSP00000338343
ENSMUSP00000028630,ENSP00000370381
ENSMUSP00000034218,ENSP00000402152
ENSMUSP00000109907,ENSP00000338345
ENSMUSP00000000579,ENSP00000245479
ENSMUSP00000021458,ENSP00000374372
ENSMUSP00000033979,ENSP00000276449
ENSMUSP00000013995,ENSP00000359245
ENSMUSP00000105618,ENSP00000215838
ENSMUSP00000128090,ENSP00000206765
ENSMUSP00000000219,ENSP00000370567
ENSMUSP00000096877,ENSP00000366307
ENSMUSP00000096458,ENSP00000341838
ENSMUSP00000021806,ENSP00000312304
ENSMUSP00000028155,ENSP00000298552
ENSMUSP00000021346,ENSP00000298171
ENSMUSP00000074783,ENSP00000237014
ENSMUSP00000023510,ENSP00000232607
ENSMUSP00000030446,ENSP00000246337
ENSMUSP00000024866,ENSP00000368727
ENSMUSP00000019257,ENSP00000291582
ENSMUSP00000036044,ENSP00000233242
ENSMUSP00000021197,ENSP00000261714
ENSMUSP00000035222,ENSP00000326305
ENSMUSP00000069080,ENSP00000420194
ENSMUSP00000023829,ENSP00000482768
ENSMUSP00000026607,ENSP00000350386
ENSMUSP00000033184,ENSP00000299427
ENSMUSP00000054380,ENSP00000375809
ENSMUSP00000028623,ENSP00000351509
ENSMUSP00000000608,ENSP00000349687
ENSMUSP00000031172,ENSP00000226413
ENSMUSP00000130992,ENSP00000308610
ENSMUSP00000060027,ENSP00000499539
ENSMUSP00000025385,ENSP00000424940
ENSMUSP00000020188,ENSP00000356713
ENSMUSP00000028111,ENSP00000369293
ENSMUSP00000079699,ENSP00000308452
ENSMUSP00000127693,ENSP00000261978
ENSMUSP00000021091,ENSP00000380378
ENSMUSP00000036971,ENSP00000228510
ENSMUSP00000140404,ENSP00000356505
ENSMUSP00000085016,ENSP00000263388
ENSMUSP00000106318,ENSP00000196371
ENSMUSP00000022075,ENSP00000308024
ENSMUSP00000025468,ENSP00000255266
ENSMUSP00000087037,ENSP00000323856
ENSMUSP00000062670,ENSP00000222572
ENSMUSP00000106737,ENSP00000355747
ENSMUSP00000077584,ENSP00000299440
ENSMUSP00000027874,ENSP00000331736
ENSMUSP00000023835,ENSP00000245312
ENSMUSP00000023707,ENSP00000270142
ENSMUSP00000003152,ENSP00000324856
ENSMUSP00000056195,ENSP00000266971
ENSMUSP00000018094,ENSP00000312987
ENSMUSP00000021016,ENSP00000480291
ENSMUSP00000099862,ENSP00000369375
ENSMUSP00000111097,ENSP00000494504
ENSMUSP00000027393,ENSP00000260947
ENSMUSP00000040089,ENSP00000242261
ENSMUSP00000026036,ENSP00000368253
ENSMUSP00000031314,ENSP00000295897
ENSMUSP00000005829,ENSP00000379802
ENSMUSP00000035230,ENSP00000273588
ENSMUSP00000006764,ENSP00000367615
ENSMUSP00000109203,ENSP00000362441
ENSMUSP00000035551,ENSP00000369647
ENSMUSP00000040246,ENSP00000423689
ENSMUSP00000107955,ENSP00000381273
ENSMUSP00000021948,ENSP00000253496
ENSMUSP00000028681,ENSP00000308541
ENSMUSP00000133117,ENSP00000498441
ENSMUSP00000037018,ENSP00000336829
ENSMUSP00000028533,ENSP00000416606
ENSMUSP00000022744,ENSP00000409007
ENSMUSP00000022169,ENSP00000261416
ENSMUSP00000147439,ENSP00000345708
ENSMUSP00000127329,ENSP00000371532
ENSMUSP00000058691,ENSP00000333821
ENSMUSP00000159043,ENSP00000432943
ENSMUSP00000056152,ENSP00000039007
ENSMUSP00000035116,ENSP00000419027
ENSMUSP00000033800,ENSP00000484450
ENSMUSP00000027267,ENSP00000406490
ENSMUSP00000040917,ENSP00000255476
ENSMUSP00000138695,ENSP00000428719
ENSMUSP00000042187,ENSP00000340409
ENSMUSP00000031535,ENSP00000257555
ENSMUSP00000104298,ENSP00000269305
ENSMUSP00000021005,ENSP00000329869
ENSMUSP00000094986,ENSP00000219476
ENSMUSP00000128440,ENSP00000256592
ENSMUSP00000006151,ENSP00000373570
ENSMUSP00000039418,ENSP00000256474
ENSMUSP00000107873,ENSP00000261405
ENSMUSP00000134400,ENSP00000221996
ENSMUSP00000048079,ENSP00000363489
ENSMUSP00000067541,ENSP00000354458
ENSMUSP00000144718,ENSP00000412209
ENSMUSP00000029559,ENSP00000357470
ENSMUSP00000029748,ENSP00000358165
ENSMUSP00000016673,ENSP00000412237
ENSMUSP00000028882,ENSP00000263339
ENSMUSP00000028881,ENSP00000263341
ENSMUSP00000046636,ENSP00000421725
ENSMUSP00000147848,ENSP00000323505
ENSMUSP00000029275,ENSP00000226730
ENSMUSP00000106317,ENSP00000322061
ENSMUSP00000000889,ENSP00000231449
ENSMUSP00000022019,ENSP00000274520
ENSMUSP00000056669,ENSP00000304236
ENSMUSP00000025266,ENSP00000413450
ENSMUSP00000020704,ENSP00000275525
ENSMUSP00000046610,ENSP00000233809
ENSMUSP00000020702,ENSP00000370473
ENSMUSP00000026845,ENSP00000258743
ENSMUSP00000143424,ENSP00000222390
ENSMUSP00000030834,ENSP00000297494
ENSMUSP00000041855,ENSP00000360697
ENSMUSP00000005218,ENSP00000398632
ENSMUSP00000114076,ENSP00000391826
ENSMUSP00000033185,ENSP00000265983
ENSMUSP00000024044,ENSP00000011653
ENSMUSP00000093005,ENSP00000337612
ENSMUSP00000001652,ENSP00000450482
ENSMUSP00000129029,ENSP00000006750
ENSMUSP00000001927,ENSP00000386043
ENSMUSP00000023691,ENSP00000290200
ENSMUSP00000023689,ENSP00000270139
ENSMUSP00000068468,ENSP00000496959
ENSMUSP00000108371,ENSP00000329623
ENSMUSP00000007012,ENSP00000446252
ENSMUSP00000033992,ENSP00000221130
ENSMUSP00000017488,ENSP00000226218
ENSMUSP00000000834,ENSP00000356694
ENSMUSP00000033646,ENSP00000243213
ENSMUSP00000092492,ENSP00000264563
ENSMUSP00000044012,ENSP00000359184
ENSMUSP00000049909,ENSP00000399285
ENSMUSP00000027871,ENSP00000236147
ENSMUSP00000002678,ENSP00000221930
ENSMUSP00000063548,ENSP00000379845
ENSMUSP00000024099,ENSP00000241069
ENSMUSP00000000574,ENSP00000241356
ENSMUSP00000099473,ENSP00000368766
ENSMUSP00000100539,ENSP00000480573
ENSMUSP00000061851,ENSP00000217426
ENSMUSP00000000329,ENSP00000251535
ENSMUSP00000025561,ENSP00000257497
ENSMUSP00000039657,ENSP00000295598
ENSMUSP00000020323,ENSP00000299178
ENSMUSP00000071292,ENSP00000269980
ENSMUSP00000045335,ENSP00000216629
ENSMUSP00000002064,ENSP00000265523
ENSMUSP00000043092,ENSP00000263368
ENSMUSP00000037039,ENSP00000328973
ENSMUSP00000153250,ENSP00000288139
ENSMUSP00000099117,ENSP00000349320
ENSMUSP00000021065,ENSP00000226021
ENSMUSP00000035120,ENSP00000379472
ENSMUSP00000034602,ENSP00000300692
ENSMUSP00000099896,ENSP00000354566
ENSMUSP00000029975,ENSP00000482232
ENSMUSP00000034851,ENSP00000315602
ENSMUSP00000066338,ENSP00000359285
ENSMUSP00000047270,ENSP00000304290
ENSMUSP00000029562,ENSP00000357461
ENSMUSP00000028207,ENSP00000315013
ENSMUSP00000061185,ENSP00000276571
ENSMUSP00000019060,ENSP00000296871
ENSMUSP00000101768,ENSP00000362195
ENSMUSP00000000910,ENSP00000376776
ENSMUSP00000031311,ENSP00000286648
ENSMUSP00000136467,ENSP00000350616
ENSMUSP00000081007,ENSP00000354643
ENSMUSP00000023390,ENSP00000373169
ENSMUSP00000031723,ENSP00000252723
ENSMUSP00000045710,ENSP00000481868
ENSMUSP00000091692,ENSP00000298223
ENSMUSP00000017309,ENSP00000331358
ENSMUSP00000020707,ENSP00000023897
ENSMUSP00000031121,ENSP00000264318
ENSMUSP00000038051,ENSP00000308725
ENSMUSP00000092539,ENSP00000350928
ENSMUSP00000033828,ENSP00000331831
ENSMUSP00000070109,ENSP00000233838
ENSMUSP00000068120,ENSP00000320180
ENSMUSP00000106724,ENSP00000391280
ENSMUSP00000142900,ENSP00000332549
ENSMUSP00000062284,ENSP00000477455
ENSMUSP00000102164,ENSP00000293190
ENSMUSP00000002848,ENSP00000263269
ENSMUSP00000037255,ENSP00000282753
ENSMUSP00000004076,ENSP00000355316
ENSMUSP00000110978,ENSP00000344173
ENSMUSP00000004134,ENSP00000354357
ENSMUSP00000029635,ENSP00000264424
ENSMUSP00000127566,ENSP00000401832
ENSMUSP00000124460,ENSP00000406705
ENSMUSP00000139389,ENSP00000358963
ENSMUSP00000003826,ENSP00000424189
ENSMUSP00000068333,ENSP00000289753
ENSMUSP00000001055,ENSP00000392634
ENSMUSP00000024599,ENSP00000349437
ENSMUSP00000027241,ENSP00000386380
ENSMUSP00000043369,ENSP00000231454
ENSMUSP00000141845,ENSP00000263851
ENSMUSP00000029345,ENSP00000303231
ENSMUSP00000028348,ENSP00000283249
ENSMUSP00000100920,ENSP00000495951
ENSMUSP00000032342,ENSP00000445907
ENSMUSP00000003947,ENSP00000319788
ENSMUSP00000053809,ENSP00000369822
ENSMUSP00000031843,ENSP00000242152
ENSMUSP00000154180,ENSP00000398028
ENSMUSP00000045530,ENSP00000354652
ENSMUSP00000029633,ENSP00000332591
ENSMUSP00000038749,ENSP00000351957
ENSMUSP00000032909,ENSP00000282096
ENSMUSP00000022268,ENSP00000307241
ENSMUSP00000140124,ENSP00000325120
ENSMUSP00000031495,ENSP00000312286
ENSMUSP00000030524,ENSP00000364249
ENSMUSP00000033941,ENSP00000220809
ENSMUSP00000048704,ENSP00000371493
ENSMUSP00000031167,ENSP00000312735
ENSMUSP00000151504,ENSP00000379170
ENSMUSP00000034947,ENSP00000300026
ENSMUSP00000025419,ENSP00000303057
ENSMUSP00000026461,ENSP00000350491
ENSMUSP00000027312,ENSP00000484105
ENSMUSP00000105998,ENSP00000302150
ENSMUSP00000122219,ENSP00000482954
ENSMUSP00000109658,ENSP00000443271
ENSMUSP00000007981,ENSP00000246794
ENSMUSP00000093653,ENSP00000303424
ENSMUSP00000015234,ENSP00000360687
ENSMUSP00000019608,ENSP00000292513
ENSMUSP00000038483,ENSP00000245457
ENSMUSP00000029670,ENSP00000359793
ENSMUSP00000059977,ENSP00000354612
ENSMUSP00000080354,ENSP00000346001
ENSMUSP00000034966,ENSP00000311430
ENSMUSP00000072320,ENSP00000447001
ENSMUSP00000023269,ENSP00000377640
ENSMUSP00000106014,ENSP00000287038
ENSMUSP00000032597,ENSP00000342787
ENSMUSP00000032998,ENSP00000434643
ENSMUSP00000004554,ENSP00000196551
ENSMUSP00000110532,ENSP00000497917
ENSMUSP00000103940,ENSP00000251453
ENSMUSP00000054490,ENSP00000296674
ENSMUSP00000033283,ENSP00000300738
ENSMUSP00000096148,ENSP00000262631
ENSMUSP00000080164,ENSP00000438739
ENSMUSP00000005334,ENSP00000369816
ENSMUSP00000072709,ENSP00000457473
ENSMUSP00000021195,ENSP00000498537
ENSMUSP00000004480,ENSP00000287641
ENSMUSP00000037045,ENSP00000267377
ENSMUSP00000029822,ENSP00000303325
ENSMUSP00000151447,ENSP00000393333
ENSMUSP00000032491,ENSP00000162749
ENSMUSP00000030336,ENSP00000365435
ENSMUSP00000068896,ENSP00000411532
ENSMUSP00000048036,ENSP00000251413
ENSMUSP00000026846,ENSP00000315644
ENSMUSP00000029574,ENSP00000294728
ENSMUSP00000027291,ENSP00000264972
ENSMUSP00000040591,ENSP00000350191
ENSMUSP00000069011,ENSP00000347046
ENSMUSP00000004968,ENSP00000223127
ENSMUSP00000006462,ENSP00000248450
ENSMUSP00000036881,ENSP00000365728
ENSMUSP00000103012,ENSP00000253792
ENSMUSP00000023116,ENSP00000216254
ENSMUSP00000126108,ENSP00000340361
ENSMUSP00000063839,ENSP00000260408
ENSMUSP00000130594,ENSP00000501053
ENSMUSP00000113498,ENSP00000294016
ENSMUSP00000067057,ENSP00000411658
ENSMUSP00000063784,ENSP00000379514
ENSMUSP00000001109,ENSP00000332646
ENSMUSP00000000466,ENSP00000276914
ENSMUSP00000033054,ENSP00000278175
ENSMUSP00000002923,ENSP00000349496
ENSMUSP00000016105,ENSP00000355493
ENSMUSP00000099987,ENSP00000223357
ENSMUSP00000002518,ENSP00000221561
ENSMUSP00000108804,ENSP00000226355
ENSMUSP00000035250,ENSP00000497784
ENSMUSP00000021262,ENSP00000369530
ENSMUSP00000052258,ENSP00000290649
ENSMUSP00000030154,ENSP00000368455
ENSMUSP00000025830,ENSP00000265381
ENSMUSP00000140116,ENSP00000477213
ENSMUSP00000013949,ENSP00000481903
ENSMUSP00000140049,ENSP00000477613
ENSMUSP00000110746,ENSP00000360242
ENSMUSP00000021550,ENSP00000261783
ENSMUSP00000106353,ENSP00000371897
ENSMUSP00000101803,ENSP00000441348
ENSMUSP00000046235,ENSP00000374357
ENSMUSP00000108706,ENSP00000348064
ENSMUSP00000099632,ENSP00000347140
ENSMUSP00000065089,ENSP00000387123
ENSMUSP00000019231,ENSP00000358777
ENSMUSP00000038559,ENSP00000292401
ENSMUSP00000026703,ENSP00000286800
ENSMUSP00000077757,ENSP00000363591
ENSMUSP00000023140,ENSP00000053243
ENSMUSP00000028907,ENSP00000367104
ENSMUSP00000004560,ENSP00000318822
ENSMUSP00000016902,ENSP00000216115
ENSMUSP00000101129,ENSP00000358092
ENSMUSP00000028836,ENSP00000368104
ENSMUSP00000031278,ENSP00000282701
ENSMUSP00000084701,ENSP00000363708
ENSMUSP00000015725,ENSP00000239215
ENSMUSP00000045639,ENSP00000366330
ENSMUSP00000037126,ENSP00000287598
ENSMUSP00000087967,ENSP00000420381
ENSMUSP00000000058,ENSP00000222693
ENSMUSP00000022030,ENSP00000256897
ENSMUSP00000012104,ENSP00000261900
ENSMUSP00000030339,ENSP00000263932
ENSMUSP00000030047,ENSP00000223795
ENSMUSP00000017799,ENSP00000361359
ENSMUSP00000019633,ENSP00000245903
ENSMUSP00000091452,ENSP00000434614
ENSMUSP00000126024,ENSP00000397087
ENSMUSP00000070313,ENSP00000379452
ENSMUSP00000031650,ENSP00000370408
ENSMUSP00000131588,ENSP00000443904
ENSMUSP00000034625,ENSP00000435371
ENSMUSP00000026217,ENSP00000359424
ENSMUSP00000101004,ENSP00000322887
ENSMUSP00000006254,ENSP00000221855
ENSMUSP00000029919,ENSP00000378200
ENSMUSP00000030879,ENSP00000234488
ENSMUSP00000024755,ENSP00000185206
ENSMUSP00000067737,ENSP00000306772
ENSMUSP00000026506,ENSP00000433919
ENSMUSP00000148966,ENSP00000416996
ENSMUSP00000142175,ENSP00000272602
ENSMUSP00000001384,ENSP00000252456
ENSMUSP00000000080,ENSP00000419923
ENSMUSP00000030815,ENSP00000366248
ENSMUSP00000021201,ENSP00000225719
ENSMUSP00000053420,ENSP00000342445
ENSMUSP00000091799,ENSP00000378577
ENSMUSP00000026210,ENSP00000359446
ENSMUSP00000035304,ENSP00000228865
ENSMUSP00000002790,ENSP00000262982
ENSMUSP00000025764,ENSP00000311313
ENSMUSP00000112076,ENSP00000217109
ENSMUSP00000028599,ENSP00000315791
ENSMUSP00000078682,ENSP00000290921
ENSMUSP00000049161,ENSP00000279804
ENSMUSP00000064518,ENSP00000382004
ENSMUSP00000016400,ENSP00000217131
ENSMUSP00000023572,ENSP00000284878
ENSMUSP00000079689,ENSP00000313391
ENSMUSP00000122366,ENSP00000250498
ENSMUSP00000026414,ENSP00000328405
ENSMUSP00000087371,ENSP00000265022
ENSMUSP00000027602,ENSP00000264161
ENSMUSP00000079693,ENSP00000222122
ENSMUSP00000001716,ENSP00000215773
ENSMUSP00000139825,ENSP00000356520
ENSMUSP00000031061,ENSP00000336741
ENSMUSP00000073541,ENSP00000384739
ENSMUSP00000115934,ENSP00000219240
ENSMUSP00000133920,ENSP00000427336
ENSMUSP00000033776,ENSP00000358563
ENSMUSP00000102814,ENSP00000365272
ENSMUSP00000104229,ENSP00000497806
ENSMUSP00000069751,ENSP00000265104
ENSMUSP00000158051,ENSP00000333363
ENSMUSP00000142872,ENSP00000359699
ENSMUSP00000018851,ENSP00000348965
ENSMUSP00000087079,ENSP00000233668
ENSMUSP00000056282,ENSP00000346142
ENSMUSP00000042162,ENSP00000263083
ENSMUSP00000030265,ENSP00000255108
ENSMUSP00000018568,ENSP00000225729
ENSMUSP00000060402,ENSP00000344758
ENSMUSP00000033930,ENSP00000240100
ENSMUSP00000019701,ENSP00000359186
ENSMUSP00000099576,ENSP00000264205
ENSMUSP00000050897,ENSP00000305416
ENSMUSP00000052581,ENSP00000351755
ENSMUSP00000003154,ENSP00000215368
ENSMUSP00000004036,ENSP00000226091
ENSMUSP00000024238,ENSP00000164024
ENSMUSP00000088046,ENSP00000271332
ENSMUSP00000031334,ENSP00000416250
ENSMUSP00000032330,ENSP00000256951
ENSMUSP00000077466,ENSP00000352540
ENSMUSP00000132519,ENSP00000270221
ENSMUSP00000066789,ENSP00000263253
ENSMUSP00000024954,ENSP00000263734
ENSMUSP00000031324,ENSP00000244869
ENSMUSP00000075932,ENSP00000343925
ENSMUSP00000102111,ENSP00000359131
ENSMUSP00000022550,ENSP00000220562
ENSMUSP00000064655,ENSP00000295834
ENSMUSP00000020672,ENSP00000377549
ENSMUSP00000104492,ENSP00000261800
ENSMUSP00000137662,ENSP00000262426
ENSMUSP00000046789,ENSP00000496415
ENSMUSP00000038351,ENSP00000323880
ENSMUSP00000098997,ENSP00000358866
ENSMUSP00000028389,ENSP00000295113
ENSMUSP00000022618,ENSP00000265708
ENSMUSP00000006914,ENSP00000341562
ENSMUSP00000090730,ENSP00000268699
ENSMUSP00000028624,ENSP00000379895
ENSMUSP00000083211,ENSP00000313050
ENSMUSP00000048508,ENSP00000302251
ENSMUSP00000072084,ENSP00000264717
ENSMUSP00000026405,ENSP00000447537
ENSMUSP00000022699,ENSP00000428518
ENSMUSP00000025224,ENSP00000274721
ENSMUSP00000034905,ENSP00000497574
ENSMUSP00000021773,ENSP00000230036
ENSMUSP00000052444,ENSP00000362795
ENSMUSP00000106117,ENSP00000392398
ENSMUSP00000029938,ENSP00000359531
ENSMUSP00000031333,ENSP00000445162
ENSMUSP00000011302,ENSP00000448387
ENSMUSP00000003762,ENSP00000222115
ENSMUSP00000057578,ENSP00000293330
ENSMUSP00000058230,ENSP00000477548
ENSMUSP00000030985,ENSP00000372224
ENSMUSP00000021530,ENSP00000338018
ENSMUSP00000005077,ENSP00000248553
ENSMUSP00000048900,ENSP00000358495
ENSMUSP00000099325,ENSP00000301585
ENSMUSP00000021810,ENSP00000367972
ENSMUSP00000099890,ENSP00000360891
ENSMUSP00000017637,ENSP00000269593
ENSMUSP00000045057,ENSP00000295666
ENSMUSP00000029846,ENSP00000398736
ENSMUSP00000033442,ENSP00000355010
ENSMUSP00000034594,ENSP00000227752
ENSMUSP00000010605,ENSP00000501329
ENSMUSP00000033418,ENSP00000360730
ENSMUSP00000111961,ENSP00000366729
ENSMUSP00000151002,ENSP00000280357
ENSMUSP00000108876,ENSP00000358966
ENSMUSP00000047646,ENSP00000305651
ENSMUSP00000132883,ENSP00000298229
ENSMUSP00000022960,ENSP00000220849
ENSMUSP00000055073,ENSP00000256458
ENSMUSP00000003284,ENSP00000366344
ENSMUSP00000106715,ENSP00000492024
ENSMUSP00000034441,ENSP00000261772
ENSMUSP00000015829,ENSP00000357873
ENSMUSP00000159053,ENSP00000500291
ENSMUSP00000034620,ENSP00000432816
ENSMUSP00000145160,ENSP00000384677
ENSMUSP00000027777,ENSP00000355759
ENSMUSP00000025791,ENSP00000312262
ENSMUSP00000112137,ENSP00000242057
ENSMUSP00000023583,ENSP00000393887
ENSMUSP00000133709,ENSP00000365227
ENSMUSP00000030583,ENSP00000499935
ENSMUSP00000023312,ENSP00000305988
ENSMUSP00000071130,ENSP00000479870
ENSMUSP00000030041,ENSP00000265132
ENSMUSP00000021757,ENSP00000483783
ENSMUSP00000141856,ENSP00000296456
ENSMUSP00000042602,ENSP00000216714
ENSMUSP00000106953,ENSP00000356969
ENSMUSP00000108205,ENSP00000229304
ENSMUSP00000003071,ENSP00000468236
ENSMUSP00000119827,ENSP00000345179
ENSMUSP00000001155,ENSP00000366244
ENSMUSP00000034607,ENSP00000264028
ENSMUSP00000031325,ENSP00000379097
ENSMUSP00000035918,ENSP00000322628
ENSMUSP00000055862,ENSP00000298316
ENSMUSP00000025893,ENSP00000246747
ENSMUSP00000099810,ENSP00000351407
ENSMUSP00000018699,ENSP00000269299
ENSMUSP00000029123,ENSP00000364092
ENSMUSP00000027941,ENSP00000344352
ENSMUSP00000105234,ENSP00000336790
ENSMUSP00000023608,ENSP00000389649
ENSMUSP00000026459,ENSP00000262030
ENSMUSP00000113022,ENSP00000358737
ENSMUSP00000006435,ENSP00000276390
ENSMUSP00000022904,ENSP00000430282
ENSMUSP00000019354,ENSP00000253413
ENSMUSP00000023677,ENSP00000290299
ENSMUSP00000021913,ENSP00000364883
ENSMUSP00000046097,ENSP00000430945
ENSMUSP00000116231,ENSP00000359630
ENSMUSP00000031692,ENSP00000223368
ENSMUSP00000025229,ENSP00000416561
ENSMUSP00000033741,ENSP00000327336
ENSMUSP00000096912,ENSP00000274353
ENSMUSP00000050444,ENSP00000292174
ENSMUSP00000126999,ENSP00000283147
ENSMUSP00000071836,ENSP00000370912
